Threads,Experiment,Elapsed(s)
16,elephant,2.554065743
16,globe,0.589779230
16,pianoroom,0.047680754
1,elephant,21.515369315
1,globe,0.843254842
1,pianoroom,0.340007747
2,elephant,10.913087651
2,globe,0.635209968
2,pianoroom,0.177003873
3,elephant,7.153431303
3,globe,0.594581246
3,pianoroom,0.117647640
4,elephant,5.445826830
4,globe,0.558810095
4,pianoroom,0.091089516
5,elephant,4.820915311
5,globe,0.632970865
5,pianoroom,0.074876040
6,elephant,3.881814886
6,globe,0.533278265
6,pianoroom,0.064717345
7,elephant,3.569863252
7,globe,0.575452777
7,pianoroom,0.057939010
8,elephant,3.249703329
8,globe,0.574516911
8,pianoroom,0.055345464
